Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,US,,05/06/2020,56.2,47.6,51.7,41.6,,0,,15.7,25.4,69,81.57,Partially cloudy
,US,,05/07/2020,67.6,44.4,55.7,40.9,,0,,15,27.7,24.4,50.18,Clear
,US,,05/08/2020,67.5,42.9,56.8,33.1,,0.1,,26,39.5,51.4,56.43,"Rain, Partially cloudy"
,US,,05/09/2020,50.6,36.8,43.9,29,,0,,24.7,35.9,36.3,41.6,Partially cloudy
,US,,05/10/2020,64.8,37.3,51.8,32.2,,0,,18.3,24.8,18.8,44.55,Clear
,US,,05/11/2020,61.7,48.6,54.4,43.9,,0,,23.9,34.4,64.3,53.07,Partially cloudy
,US,,05/12/2020,62.6,43.7,53,39.2,,0,,15.7,28,60.4,42.13,Partially cloudy
,US,,05/13/2020,69.8,44.5,57.6,42.3,,0,,10.2,19.8,25.6,45.48,Partially cloudy
,US,,05/14/2020,70.1,50.7,60.7,,,0,,11.8,19.7,48.8,67.98,Partially cloudy
,US,,05/15/2020,84.8,62.2,73.1,,84.1,0,,20.2,29.2,46.4,65.57,Partially cloudy
,US,,05/16/2020,82.8,65.8,74,,81.5,0,,12.6,18.3,43,56.71,Partially cloudy
,US,,05/17/2020,67.8,60.7,64.3,,,0,,12.3,,57.1,72.6,Partially cloudy
,US,,05/18/2020,67.8,56.8,62,,,0,,17.3,25.3,97.6,77.4,Overcast
,US,,05/19/2020,68.9,56.7,61.9,,,0,,25.2,38,37.1,48.41,Partially cloudy
,US,,05/20/2020,63.8,53,57.2,,,0,,21.1,28.9,75.8,55.94,Overcast
,US,,05/21/2020,71.1,50.9,60.6,,,0,,16.3,21.9,79.3,71.53,Overcast
,US,,05/22/2020,76.8,60,67.4,,,0.3,,9,,73.6,86.17,"Rain, Partially cloudy"
,US,,05/23/2020,76.9,63.9,69,,,0.3,,10.2,,53.1,84.47,"Rain, Partially cloudy"
